impressions,hour,campaign,campaign_id,clicks
1,2012-10-14 19:00:00,1de159,1120,0
3681,2012-10-04 13:00:00,1li98,1117,3
5286,2012-09-30 22:00:00,1li96,1113,3
1146,2012-09-30 09:00:00,1li96,1113,0
21059,2012-10-01 11:00:00,1de159,1120,11
12117,2012-10-02 11:00:00,1de159,1120,10
1568,2012-10-15 13:00:00,1de159,1120,0
737,2012-09-30 11:00:00,1li96,1113,0
54011,2012-10-01 21:00:00,1de159,1120,39
0,2012-09-29 15:00:00,1li97,1116,0
571,2012-10-17 08:00:00,1de159,1120,0
21819,2012-09-28 23:00:00,1li96,1113,5
2878,2012-10-01 20:00:00,1li98,1117,2
1,2012-10-13 05:00:00,1de159,1120,0
3468,2012-10-16 23:00:00,1de159,1120,2
12731,2012-10-15 01:00:00,1de159,1120,10
21742,2012-10-01 12:00:00,1li98,1117,4
0,2012-09-29 14:00:00,1li97,1116,0
432,2012-10-01 03:00:00,1li96,1113,1
3,2012-10-14 01:00:00,1de159,1120,1
119,2012-10-02 19:00:00,1li98,1117,0
6286,2012-10-01 02:00:00,1li98,1117,1
58761,2012-10-04 06:00:00,1li98,1117,14
28508,2012-09-30 14:00:00,1de159,1120,15
20025,2012-10-01 10:00:00,1de159,1120,11
42218,2012-09-30 13:00:00,1li98,1117,8
208,2012-10-15 20:00:00,1de159,1120,1
73678,2012-09-30 17:00:00,1li98,1117,15
6176,2012-10-15 08:00:00,1de159,1120,1
0,2012-09-29 20:00:00,1li97,1116,0
183,2012-09-29 19:00:00,1li96,1113,0
3646,2012-10-14 13:00:00,1de159,1120,1
34503,2012-09-30 21:00:00,1de159,1120,21
29464,2012-10-01 16:00:00,1li98,1117,5
13581,2012-10-14 20:00:00,1de159,1120,8
20582,2012-10-01 13:00:00,1li98,1117,4
1,2012-10-03 04:00:00,1li98,1117,0
341,2012-09-29 22:00:00,1li96,1113,0
23055,2012-10-04 12:00:00,1li98,1117,5
4602,2012-10-01 14:00:00,1li96,1113,0
1211,2012-10-15 11:00:00,1de159,1120,0
7078,2012-09-29 01:00:00,1li96,1113,4
91478,2012-09-29 03:00:00,1de155,1114,11
5323,2012-09-30 02:00:00,1de159,1120,4
129,2012-10-16 20:00:00,1de159,1120,0
202739,2012-09-28 17:00:00,1li96,1113,30
673,2012-10-16 14:00:00,1de159,1120,0
60899,2012-09-30 06:00:00,1de159,1120,54
2,2012-10-12 15:00:00,1de159,1120,0
1,2012-10-13 07:00:00,1de159,1120,0
